LocAz	 LocEle	 R	 G	 B
-52.5	 0	 1	 2	 3
-45	 0	 4	 5	 6
-37.5	 0	 7	 8	 9
-30	 0	 10	 11	 12
-22.5	 0	 13	 14	 15
-15	 0	 16	 17	 18
-7.5	 0	 19	 20	 21
0	 0	 22	 23	 24
7.5	 0	 25	 26	 27
15	 0	 28	 29	 30
22.5	 0	 31	 32	 33
30	 0	 34	 35	 36
37.5	 0	 37	 38	 39
45	 0	 40	 41	 42
52.5	 0	 43	 44	 45
0	 30	 46	 47	 48
0	 22.5	 49	 50	 51
0	 15	 52	 53	 54
0	 7.5	 57	 58	 59
0	 -7.5	 60	 61	 62
0	 -15	 63	 64	 65
0	 -22.5	 66	 67	 68
0	 -30	 69	 70	 71
